stcd,dpres,retiring,gopseat,age
3210,80.6385,0,0,71
3211,44.9692,0,1,62
3212,86.0537,0,0,72
3213,94.4729,0,0,64
3214,79.6923,0,0,56
3215,95.0355,0,0,75
3216,76.9467,0,0,71
3217,60.4124,0,0,81
3218,49.0114,0,0,52
3219,46.4135,0,1,66
3220,57.1429,0,0,69
3221,42.5985,0,1,34
3222,41.7641,0,1,57
3223,42.1444,0,1,47
3224,51.9108,0,1,56
3226,60.251,0,0,59
3227,37.0917,0,1,68
3301,68.8775,0,0,71
3302,45.0413,0,1,50
3303,37.885,0,1,75
3304,70.7469,0,0,78
3305,40.9465,0,1,75
3306,42.4615,0,1,49
3307,40.9231,0,1,46
3308,42.284,0,1,47
3309,44.0329,0,1,70
3310,37.3717,0,1,43
3311,34.9794,0,1,59
3312,70.6612,0,0,72
3313,45.1745,0,1,47
3501,46.5553,0,1,65
3502,41.5707,0,1,60
3503,70.0837,0,0,68
3504,32.3158,0,1,54
3505,36.6914,0,1,62
3506,27.8125,0,1,64
3507,34.4176,0,1,64
3508,31.9749,0,1,48
3509,61.6597,0,0,72
3510,46.17,0,1,58
3511,82.5641,0,0,66
3512,44.0589,0,1,56
3513,53.396,0,0,45
3514,43.9916,0,1,61
3515,41.9118,0,1,53
3602,23.8245,0,1,41
3603,22.1164,0,1,58
3604,30.1064,0,1,69
3605,42.7957,0,1,55
3701,62.4183,0,0,64
3702,39.1819,0,1,61
3703,75.8584,0,0,70
3704,50.0543,0,0,71
3705,52.2727,0,0,67
3801,51.0395,0,1,45
3802,74.5399,0,0,41
3803,92.8498,0,0,64
3808,45.0515,0,0,57
3810,45.3501,0,1,56
3811,36.4496,0,1,54
3812,31.0021,0,1,66
3815,27.5182,0,1,59
3816,39.5616,0,1,70
3818,64.2192,0,0,65
3901,63.4172,0,0,57
3902,53.7329,0,0,54
4001,43.0245,0,1,58
4002,40.6744,0,1,71
4003,30.2083,0,1,52
4005,40.3746,0,1,65
4006,68.7951,0,0,78
4007,40.2678,0,1,61
4201,20.4357,0,1,73
4203,31.59,0,1,56
4204,28.5417,0,1,54
4205,59.7046,0,0,64
4208,31.6495,0,1,52
4209,79.6506,0,0,69
4301,25.9487,0,1,65
4304,22.428,0,1,53
4307,50.7322,0,1,62
4308,24.7412,0,1,63
4309,81.5005,0,0,71
4310,45.2356,0,1,56
4311,19.711,0,1,70
4312,34.205,0,1,75
4313,17.4587,0,1,60
4314,39.7516,0,1,65
4315,58.635,0,0,51
4317,40.7992,0,1,64
4318,79.2746,0,0,68
4319,24.4792,0,1,46
4320,64.0084,0,0,44
4322,45.8982,0,1,56
4323,51.7672,0,1,41
4324,46.7437,0,1,67
4325,42.1826,0,1,69
4326,36.0965,0,1,68
4327,37.7847,0,1,43
4328,60.2273,0,0,63
4330,81.2115,0,0,83
4331,43.2662,0,1,77
4332,50.9989,0,1,63
4333,75.4658,0,0,47
4334,61.0939,0,0,55
4335,67.759,0,0,72
4336,25.9259,0,1,70
4401,31.068,0,1,67
4402,41.0256,0,1,58
4403,33.0496,0,1,58
4404,45.3147,0,1,43
4501,65.1724,0,0,71
4601,43.4599,0,1,59
4602,48.1953,0,1,39
4603,66.5969,0,0,71
4604,61.2735,0,0,57
4607,46.5608,0,1,54
4608,77.8602,0,0,68
4609,28.4079,0,1,60
4610,55.2966,0,1,59
4611,70.8686,0,0,68
4701,58.8683,0,0,56
4702,62.0502,0,0,53
4703,45.9957,0,1,40
4704,37.7419,0,1,63
4705,42.8258,0,1,49
4706,56.736,0,0,44
4707,87.0626,0,0,53
4709,75.1599,0,0,53
4710,56.25,0,0,66
4801,27.9661,0,1,71
4802,30.8824,0,1,47
4902,69.4093,0,0,54
4903,47.6089,0,0,55
4904,77.2443,0,0,67
4905,39.3875,0,1,75
4906,41.0582,0,1,63
4907,39.2219,0,1,47
4908,40.7173,0,1,34
5001,24.2981,0,1,52
302,52.5981,1,1,52
309,58.754,1,0,42
539,54.5551,1,1,67
549,53.9936,1,1,65
602,61.6904,1,0,43
705,52.1421,1,0,59
906,41.219,1,1,40
915,44.8025,1,1,59
917,36.0082,1,1,48
927,60.0616,1,1,66
1101,67.4145,1,0,67
1201,28.5073,1,1,51
1304,86.149,1,0,65
1404,31.9577,1,1,48
1406,28.8118,1,1,49
1602,40.1288,1,1,55
2006,57.9058,1,0,55
2103,62.1795,1,0,72
2209,54.0966,1,0,87
2211,47.6842,1,1,58
2301,41.8757,1,0,54
2305,79.9349,1,0,55
2308,41.5948,1,0,75
2403,37.5127,1,1,62
2803,49.4681,1,0,61
2804,52.6036,1,0,38
2901,49.1561,1,0,66
3002,47.619,1,1,72
3011,49.5346,1,1,72
3101,59.5156,1,0,59
3102,44.3333,1,1,71
3401,30.1743,1,1,57
3516,41.318,1,1,60
3601,34.7503,1,1,43
3805,64.5361,1,1,63
3806,54.8488,1,1,42
3807,50.5711,1,1,58
3809,32.2917,1,1,62
3813,26.3702,1,1,57
4004,36.4308,1,1,54
4101,34.0129,1,1,47
4202,31.3291,1,1,71
4206,24.6106,1,1,67
4207,29.4671,1,1,66
4302,45.1309,1,1,70
4303,42.5577,1,1,88
4305,35.3608,1,1,61
4306,43.6004,1,1,69
4316,71.3985,1,0,46
4321,44.7368,1,1,71
